,Date
0,0008d451-8576-4584-a2d4-71cc0a597a72
1,00bd3679-f587-48c1-bca2-b0d2a091b188
2,00c4f986-de47-46fd-a56f-c4025cef796e
3,00ca5008-13e3-453d-9476-aef85e9a5759
4,00dd1285-e696-430d-8e3c-73e50d90b1a1
5,014a2397-3143-48ec-82a6-8bfbcaa28db2
6,014e1541-4350-478b-9cc2-3b12cd1d34ea
7,015613f4-6bd6-4f92-9bcd-34eef145e6ca
8,0179bacf-2d25-4ffd-9439-6d50fadac3c7
9,017ec7c4-b393-498f-885b-d38f5c83b4d4
10,031f37eb-3ce4-40b5-b9d1-b0594a18dd25
11,0374a432-ebef-4493-94e4-47c436543d49
12,0381442f-2f49-4c75-a25a-f9935d813532
13,03bb6039-7663-4a51-9c71-fa10dc71f774
14,03de661b-4d19-49e0-badd-7b11d93de951
15,04cf6a14-a915-46b7-ad6c-f09b8987dab5
16,04d067cf-924a-4b85-b78c-891b453496b3
17,0511880c-bb6c-4217-9cf1-24a5f4531e2e
18,0555d40f-6f8e-46c1-8cff-6c190006b9fe
19,0612eea3-5760-4763-abab-120c3aa343f0
20,06818b26-7825-47c5-b57d-bd6ba572acad
21,06839c4b-ad0a-4df9-a51d-4c3672acb176
22,07980786-b313-447d-aa39-58a6567e5e7b
23,07b78af0-a9c3-4599-b238-2066f9c3da7b
24,082ea4b1-6f78-4700-9341-681f91d657f2
25,08a819fe-b75f-4a34-bd07-ccd3361813c0
26,08e14721-6aa1-41d2-8415-887e38ee57cf
27,092e22e2-47d2-4c14-bab2-c8cf670cdfb1
28,094e5a4a-4ce1-44a4-92f9-8290448490d6
29,094ebeca-99b6-401e-b650-7432b37c6f72
30,0953d186-122e-4097-9244-1b76f0bbe743
31,0962855e-4b02-42ee-a045-4eda90612f9b
32,0a44f51b-0e65-4e15-9844-448af3d3b609
33,0a82a6ec-f3eb-4a9f-974c-037f5617a785
34,0ac1d719-67a9-4105-8f63-aa719b20dc37
35,0b10f25c-0c0e-45f8-87b6-e0cfe4896743
36,0bc8205a-5d41-46bf-954b-ad7a52edb4cb
37,0bd08240-27a9-4d21-a8e8-dd5dc8995ea4
38,0c5208d8-52f3-4b07-98ac-cce47c6cc368
39,0cd2e702-0d55-4e8f-aa6c-03be7ee5a791
40,0d5810ca-caa5-4c52-be35-be58b76138e9
41,0d915308-b164-4f47-bf65-5152d642f96c
42,0d95cab2-a1b5-403e-a8e8-673b92610e14
43,0dbcd191-9d2c-4e46-87f7-9d790e6a0300
44,0dc96181-d9e5-40f8-868e-a94bff2b3660
45,0e5e751c-8941-4f3e-99ac-1b4130c322cc
46,0e8a79d2-e386-4365-b434-f1a6c669858f
47,0fcac37a-01e6-49f1-b2f2-449ab8f26394
48,102a65cd-3208-41cf-8d40-4d8a4e53f172
49,1031c8e9-432e-48a9-8e27-b077c0dda7e3
50,1056a83d-c864-47d5-b76d-dcafafc0e0ed
51,116c9cbb-8885-4244-9139-f2ec4c17e794
52,12217ba8-f7fa-4b9c-b598-2760d9d9db58
53,123e61bc-6553-4d84-8654-8228027596f2
54,12460a79-5177-45f4-97a9-dfda735d545a
55,126f1e38-0f37-48a7-b0cd-57e1f9a1295d
56,12735c00-5891-4304-b786-8529c5b69d38
57,12ae1d2f-0176-4144-8266-50616faa8443
58,132fcc4d-5e17-4888-9ac5-99f4ea80b5ad
59,138c943a-eb12-45b6-b478-044c20c871ef
60,13b77b17-9d01-449b-9a3f-96761f3353d5
61,13f1639b-e4de-4332-adc4-5da451afc339
62,140479df-1a6d-4ed1-a18f-1b981aac78bc
63,1428d2c2-2fae-4e30-986b-dd5de8bd7acc
64,149dd4e7-a998-4195-b2ac-d51b7c6a1473
65,151b9f06-c018-40c9-b123-d92a0290aaca
66,15a93a69-d4ab-4793-945a-26f05f93d4c4
67,16043037-15e9-4f24-86dd-f4b2868be4da
68,16191140-5440-43c4-9a37-3bfcd8a2aaeb
69,162ad971-2be1-47f7-a5b0-fe5948bf5fda
70,16cf4aa9-e9f6-4f7d-8db4-2c29d4b31758
71,16e4b972-3f6f-469c-bab9-b6b064bbf2ef
72,17115d3f-3624-4831-bbeb-a07f1c1263c7
73,171aef21-6825-468f-b85b-1f9427fe0e1f
74,173a45d2-fca8-4fdf-99d3-439ccfa6abc7
75,1743ac1e-e231-48d9-816f-e0d4e3442e23
76,17b8c2e6-df7a-44c8-b9a7-09904c486b76
77,17bf39e2-0444-4064-9fae-3d70cdc97231
78,181e1e24-60ee-49f8-9a97-9b05f7350629
79,19856802-6b83-44b4-a7a0-064ce672ada6
80,19dfff79-bca9-4191-8a20-ef78c476ba58
81,19e30f08-a501-42f0-bf13-254ea34b7a2c
82,1a0d29e6-c525-466f-bcba-590aa06fa13e
83,1a3157aa-ed03-4a87-a680-e5c7fcf0e288
84,1b00f668-fbf0-4191-8275-8dbd6de81f59
85,1b041ca7-11a3-4ff2-ab86-52191b5e343a
86,1b31f3d3-4a6c-4207-8830-711add319d65
87,1b807f3e-96d9-444b-886b-3fb391da8f54
88,1b98dd25-2954-423a-ab8e-74cbae99841b
89,1bd4becf-d6fa-4a75-b371-8174984f33bd
90,1bfd69c8-c445-4f61-8a5e-a7b3bc6369c5
91,1c6da159-bd5b-43ec-bd14-aed80e675c54
92,1d5aae1b-beff-400e-9d29-1383415837c7
93,1d78a1fb-442a-452a-8e8b-f1c0c1f6278d
94,1e16e6c8-a510-47a9-aea2-7282b1fabda6
95,1e699613-fef1-4993-b549-9a277699a555
96,1ece6972-ac33-4f84-8199-82963d9c16e5
97,1f7ee8b5-201a-4e3f-a203-b378f339de1d
98,1f9cd942-3fef-46f8-bfd8-00f3f8f187c8
99,204c897d-0608-4861-845f-36a91a487fc9
100,20b45ff8-0ed9-488b-8004-c25a50aea686
101,20ea7000-dba9-47ad-87e6-1768b9132482
102,20f12e99-7e0c-48ad-a9eb-ba9c996399ba
103,21559f54-c639-4e8c-8950-553a25e5b1a9
104,223f38af-687d-4275-943e-b6becd8e989b
105,226e6ada-a6c1-4037-a6a3-8d06c67b6fc8
106,22a189ab-d343-4243-9378-283ba04ed82b
107,22d63bd0-ccb4-441b-8081-d80428956138
108,23542fe1-2e32-4280-8937-068d4039ba8d
109,23efa7a6-8a97-46ea-bab0-bd8dfff42b2a
110,24a3a9a2-6149-415c-86eb-96a8706c3e5d
111,24c8f208-87f9-4295-9dcb-7a017fe1234e
112,25509919-ea81-4f5a-b1c1-1d8f25f7e391
113,25834f46-8ab0-4d17-bc29-999e745e6339
114,25bfc6f3-1b42-40f3-8bb4-88aed77ae800
115,2614ca8b-be57-42a0-a23e-0e36f4eb442d
116,262b511a-f6d6-4ca0-8ea0-828645359b15
117,26e0b1a0-9c90-43c1-ae07-ed79dabbd724
118,27502191-0d05-4162-a9ad-86eae60e2740
119,27edae73-d4b5-4a39-8f1b-cd888a6562e5
120,28539dc1-6417-47d4-82de-451d134639d4
121,285cefe6-4648-4678-ba18-713831b3b57a
122,29aab5a2-b641-4c78-884c-4e8aff253ae2
123,2a4a6472-ad8b-4ed0-a9f6-a8a95947a615
124,2a7da386-edb5-499e-bb2a-407ff9af4989
125,2b105606-1edf-41ce-a6ca-066e7699e1c8
126,2b4950f2-7c93-424d-902b-a241f56c8897
127,2c41d594-daf3-43ad-b4eb-22bcbfecd90f
128,2cbc64f4-4afa-4d93-9541-8293bb38a55f
129,2ce218e3-b90d-4305-9e19-0e613bce2190
130,2cf197f7-66d2-4e50-9194-77285881e1ff
131,2d718bf0-6035-4b2b-b792-46885dba0619
132,2d7ff215-3700-4c4a-bf8c-e210619400fe
133,2d872505-ccca-4311-b99a-28bed88d0607
134,2da987b7-5d08-4f27-ad5d-91469cf9c38d
135,2e005f31-3ea7-451e-bf62-38d7178ee1e1
136,2e077a3d-feda-4393-bd8d-d75ded1795d0
137,2e284c39-b438-40ac-9f22-0245f3bbf6c8
138,2e30b914-89ca-4ba4-9863-99fdabdb7cba
139,2e4f2b3b-f3f7-454f-bda8-8c26b65b2f02
140,2e559640-839a-4096-840a-812dfea4c1bf
141,2ece1771-50ee-4841-ac14-cc06bcf2a82d
142,2f43e24c-7ac4-483f-a33e-400f10eb4ab7
143,2f6f4851-56f7-47ef-8732-b0fa0d376407
144,2faf3e3c-346d-4b97-959c-5e10b01c55ef
145,3005015b-f682-4f3b-87c8-1293e68790d9
146,305e324d-f684-427d-a09c-a25f991747d6
147,30d8b413-f53e-4c75-ae8e-939216679943
148,316b59cf-5047-434d-9e94-e66e82c0e053
149,319b6891-3098-41d2-a694-80ae3c952ba2
150,31f45ea6-7d68-413d-a47b-463090bb08a0
151,330428b1-e99d-45b1-9665-c78a25d1644b
152,332fd993-588b-4761-ad64-eb6d33673b5d
153,333ffd2b-b595-47ee-b651-644af8031bfc
154,335cb4d6-01e5-420d-9f23-95fa84696171
155,337534c6-edbf-4f35-8093-c6c2f2af5a23
156,359bc522-ee24-402c-8140-0925a9cbddac
157,3662a98c-e434-4e0f-a117-aea64ea51836
158,36c3efb4-887c-4762-8dcb-18732b56b4c4
159,37178858-1c0f-436e-afa1-20c961cd0913
160,37e02a54-ba89-4d7d-9354-0b5d9064df97
161,37f35cc0-2022-4bd4-b4f6-d373f4e723c4
162,389df0ab-fb05-4368-a384-179b3f8e4e43
163,393bb2f8-478f-4f07-a813-8a179db02ab3
164,395211b4-9fc2-4fd5-9acd-f56c15c7ade5
165,399515de-1def-4d62-ac46-9ae240d5440d
166,399a85cb-6960-4cdb-aea9-50481bd01169
167,39e2fa01-1654-4325-8dc8-545b43784e5b
168,3a6f122a-d50c-48d7-8b64-30e00fb3afc0
169,3b05829f-edb1-48c5-9384-29ba5c30defd
170,3b168476-0194-48fc-9cbf-f5c9e8b5f69f
171,3b61ea26-2641-44c7-9074-183bd9f870ca
172,3c8190cf-9e65-4623-a075-1eb3966bf100
173,3c8c0b2d-21d9-4773-ba9b-65174c356f7b
174,3cd302f0-4a06-438d-9238-0e7b071711eb
175,40b03962-69e4-4380-af02-4818a6fa6677
176,417cfe16-9624-4044-b5ab-ce7b3bcdbf0b
