,Unnamed: 0,address,city,in_stable,latitude,longitude,name,state,uuid,zip,status
367,367,2112 Century Park Ln,Los Angeles,1.0,,,L. A. Reporters,CA,e4d251d7-9fbb-4f36-b0a9-1e505a2e1750,90067.0,stable
368,368,612 N Almont Dr,West Hollywood,1.0,,,MB Fine Art,CA,0959e31e-888f-4bb6-b6c5-f498ae225955,90069.0,stable
369,369,560 Riverdale Dr,Glendale,1.0,,,Next Venture,CA,1c2597e9-2b51-4eda-8f00-b4bc19d09fd4,91204.0,stable
370,370,10990 Wilshire Blvd,Los Angeles,1.0,,,Silvus Communication,CA,4ea405e2-1ed6-4f58-a5e9-b4fe892edc04,90024.0,stable
371,371,5514 Sepulveda Blvd,Culver City,1.0,,,Strategic Management Associates,CA,50588305-03cc-4a86-92d9-f613430e71b7,90230.0,stable
372,372,328 11th St,Manhattan Beach,0.0,,,Ecokai Environmental,CA,65b57f89-8662-401e-a859-237173e1f0b0,90266.0,edge
373,373,6415 Randolph St,Los Angeles,1.0,,,B & B Battery USA,CA,6fda54f3-85b6-4671-9a23-6a99b60a633a,90040.0,stable
374,374,125 Wyatt Ln,Palmdale,0.0,,,Delta Scientific,CA,a27c1e42-77b7-4a83-925b-54119b0aa5d9,93551.0,edge
375,375,1034 Selby Ave,Los Angeles,1.0,,,Sara Adler Law Office,CA,d0ea7c04-ee0a-4e6e-9017-e62c1e9e866e,90024.0,stable
376,376,1581 W Wardlow Rd,Long Beach,0.0,,,West Coast Packer & Port Service,CA,ef0729e5-6dfd-4392-aedf-ed6c3e5ab0fa,90810.0,edge
377,377,19201 S Susana Rd,East Rancho Dominguez,1.0,,,DHX - Dependable Hawaiian Express,CA,f74ffe4a-13b7-461a-aa11-303dcd20ce70,90221.0,stable
378,378,2310 W 205th St,Torrance,1.0,33.844095948035566,{},PVP Communications,CA,015613f4-6bd6-4f92-9bcd-34eef145e6ca,90501.0,stable
